PHYLUM;CLASS;ORDER;GENUS;BASE_S;BASE_STG;TOP_S;TOP_STG;RANGE_BASE;RANGE_TOP;EXT_BASE;EXT_TOP;MOBILITY;PREDATOR
Mollusca;Gastropoda;Neotaenioglossa;Telleria;Tr;Ladi;J;Bajo-l;236;171;236;171;1;0
Mollusca;Gastropoda;Neotaenioglossa;Temanella;T;Plio-u;R;;5;0;5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tembrockia;T;;;;999;999;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tenagodus;Tr;Ladi;R;;236;0;236;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Teneposita;K;Maes-l;;;67;67;67;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tenuicerithium;T;Than;T;Ol;57;25;57;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tenuiscala;T;Dani;R;;63;0;63;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tephlon;K;Maes;;;67;67;67;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Terebellopsis;T;Eo;;;52;52;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Terebellum;T;Than;R;;57;0;57;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Terebralia;K;Albi;R;*;106;0;106;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Terebraliopsis;K;Ceno;T;Dani;97;63;97;63;1;0
Mollusca;Gastropoda;Neotaenioglossa;Teretrina;Tr;Ladi;J;Oxfo-u;236;154;236;154;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tessarolax;K;Haut;K;Maes-l;129;67;129;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tetraptyxis;J;Tith;;;145;145;145;145;1;0
Mollusca;Gastropoda;Neotaenioglossa;Thericium;T;Than;R;*;57;0;57;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Thersitea;T;Eo-l;;;53;53;53;53;1;0
Mollusca;Gastropoda;Neotaenioglossa;Thierachella;J;Bath;;;164;164;164;164;1;0
Mollusca;Gastropoda;Neotaenioglossa;Thylacus;K;Camp-l;K;Maes-u;77;66;77;66;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tianjinospira;T;Pg;;;77;77;77;77;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tiaracerithium;K;Maes;R;;67;0;67;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tiarellacerithium;T;Eo-u;;;36;36;36;36;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tibia;K;Coni;R;*;87;0;87;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tibiaporrhais;K;Camp;;;77;77;77;77;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tintorium;K;Camp-u;K;Maes;77;67;77;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tioria;T;Eo-m-u;R;;40;0;40;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tmetonema;C;Serp;;;325;325;325;325;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tomyris;T;Ol;;;31;31;999;999;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tonna;T;Plio;R;;5;0;5;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Torcula;T;Eo-m?;R;*;43;0;43;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Torculoidella;T;Mi;R;;22;0;999;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Torgnellus;K;Maes;;;67;67;67;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Tornus;T;Than;R;*;57;0;57;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Torquatiscala;T;Eo-l;;;53;53;53;53;1;0
Mollusca;Gastropoda;Neotaenioglossa;Torquesia;K;Vala;R;;134;0;134;0;1;0
Mollusca;Gastropoda;Neotaenioglossa;Torquesiella;K;Camp-u;K;Maes-l;77;67;77;67;1;0
Mollusca;Gastropoda;Neotaenioglossa;Touzinia;T;Mi;T;Plio;22;4;999;4;1;0
Mollusca;Gastropoda;Neotaenioglossa;Toxoconcha;Tr;Anis-u;Tr;Nori;243;210;243;210;1;0
Mollusca;Gastropoda;Neotaenioglossa;Trachoecus;Tr;Carn;;;225;225;225;225;1;0
