"reference","reef.number","name","formation","system","series","interval","latitude","longitude","biota.main","country","collection.pbdb","remarks","authors","year","title","editors","paper","number","pages"
2366,3313,"Northern Bustamante Canyon, Nuevo Leon ","Cupido ","Cretaceous ","Lower Cretaceous ","Barremian ",26.5333,-100.5333,"Microbes ","Mexico ","","Type 2 Lower Cupido Formation. Sponge-microbial mud mounds on outer ramp setting Microbes, siliceous sponges, calcisponges, coralline algae","Murillo-Muñetón, G., Dorobek, S. L. ",2003,"Controls on the evolution of carbonate mud mounds in the Lower Cretaceous Cupido Formation, northeastern Mexico ","  ","Journal of Sedimentary Research ","73 ","869-886 "
2366,3312,"Rincón de Los Galemes, Bustamente, Nuevo Leon ","Cupido ","Cretaceous ","Lower Cretaceous ","upper Hauterivian? ",26.5167,-100.55,"Siliceous sponges ","Mexico ","","Type 1 mounds Siliceous sponge-microbial mounds on deep-ramp setting Hexactinellids (Lychniskosa) and lithistids commonly in situ. Locally intense boring mainly by annelids Encrustations by worms (Terebella), Forams and microbes","Murillo-Muñetón, G., Dorobek, S. L. ",2003,"Controls on the evolution of carbonate mud mounds in the Lower Cretaceous Cupido Formation, northeastern Mexico ","  ","Journal of Sedimentary Research ","73 ","869-886 "
2368,3316,"Wadi Ashkar, South Galala ","Southern Galala ","Paleogene ","Paleocene ","middle-late Paleocene ",28.9,32.4,"Corals ","Egypt ","0 ","Coral patch reefs in zones SBZ3 and basal SBZ4. Data from sections A5 and K3b","Scheibner, C., Reijmer, J. J. G., Marzouk, A. M., Speijer, R. P., Kuss, J. ",2003,"From platform to basin: the evolution of a Paleocene carbonate margin (Eastern Desert, Egypt) ","  ","International Journal of Earth Sciences ","92 ","624-640 "
2369,3317,"Tazerdunet ","  ","Jurassic ","Middle Jurassic ","Callovian ",32.9167,10.45,"Corals ","Tunisia ","36665 ","Coral collections from 8 localities in area around Tatahouine. No details on reef facies","Beauvais, L. ",1966,"Etude des Madréporaires jurassiques du Sahara tunisien ","  ","Annales de Paléontologie (Invertébrates) ","52 ","115-152 "
2371,3318,"Zlambachgraben ","Zlambach Beds ","Triassic ","Upper Triassic ","Rhaetian ",47.75,13.5,"Corals ","Austria ","38146 ","Includes data from Sommeraukogel Small reefal blocks on near-reef ramps","Matzner, C. ",1986,"Die Zlambach-Schichten (Rhät) in den Nördlichen Kalkalpen: Eine Plattform-Hang-Beckenentwicklung mit allochthoner Karbonatsedimentation ","  ","Facies ","14 ","1-104 "
2372,3320,"Gosaukamm II ","Zlambach Beds ","Triassic ","Upper Triassic ","Rhaetian ",47.4833,13.6,"Corals ","Austria ","38148 ","Questionable if reefs Coral associations from a several localities: Schneckengraben: well stratified marls and limestones; Kesselwand-Rohrmoos: corals are scattered in thin layers of detrital limestones (calcarenites and calcirudites)","Roniewicz, E. ",1989,"Triassic scleractinian corals of the Zlambach Beds, Northern Calcareous Alps, Austria ","  ","Österreichische Akademie der Wissenschaften, Mathematisch- naturwissenschaftliche Klasse, Denkschriften ","126 ","1-152 "
2372,3319,"Hallstätter Salzberg ","Zlambach Beds ","Triassic ","Upper Triassic ","Rhaetian ",47.55,13.65,"Corals ","Austria ","38145 "," ","Roniewicz, E. ",1989,"Triassic scleractinian corals of the Zlambach Beds, Northern Calcareous Alps, Austria ","  ","Österreichische Akademie der Wissenschaften, Mathematisch- naturwissenschaftliche Klasse, Denkschriften ","126 ","1-152 "
2374,3321,"Provincia di Bergamo, Lombardia, Southern Alps ","Calcare di Zu ","Triassic ","Upper Triassic ","Rhaetian ",45.8,9.75,"Corals ","Italy ","38119 "," ","Fantini-Sestini, N. ",1990,"I coralli del Calcare di Zu (Triassico Superiore) della Lombardia (Italia). Nuove Segnalazioni ","  ","Rivista Italiana di Paleontologia e Stratigrafia ","96 ","103-110 "
2375,208,"Val Adrara and others, Lombardia ","Calcare di Zu ","Triassic ","Upper Triassic ","Rhaetian ",45.7167,9.9667,"Corals ","Italy ","38128 "," ","Fantini-Sestini, N., Motta, N. ",1984,"I coralli del calcare di Zu (Triassico superiore) della Lombardia (Italia) ","  ","Rivista Italiana di Paleontologia e Stratigrafia ","89 ","343-376 "
2376,3323,"Spring Creek, Hells Canyon, Oregon/Idaho ","Martin Bridge ","Triassic ","Upper Triassic ","lower Norian ",45.1278,-116.85,"Corals ","United States ","38055 ","Bedded non-reefal carbonates indicated, probalby related to close-by reefs","Senowbari-Daryan, B., Stanley, G.D. ",1988,"Triassic sponges (Sphinctozoa) from Hells Canyon, Oregon ","  ","Journal of Paleontology ","62 ","419-423 "
2377,92,"Dereköy ","  ","Triassic ","Upper Triassic ","lower Norian ",36.75,30.3333,"Calcisponges ","Turkey ","38047 ","Thallophytes microborings","Cremer, H. ",1995,"Spicule pseudomorphs in Upper Triassic (Norian) chaetetid sponges from the western Taurids (Antalya-region, SW Turkey) ","  ","Géobios ","28 ","163-174 "
2379,3324,"Golfo della Serra, Calabria ","  ","Triassic ","Upper Triassic ","Norian/Rhaetian ",39.1667,15.9833,"Calcisponges ","Italy ","38014 ","Reefal boulders","Senowbari-Daryan, B., Zamparelli, V. ",1999,"Upper Triassic sphinctozoan sponges from Northern Calabria (Southern Italy) ","  ","Rivista Italiana di Paleontologia e Stratigrafia ","105 ","145-153 "
2383,3326,"Perrières ","Grès armoricain ","Jurassic ","Middle Jurassic ","Bathonian ",48.9667,-0.1333,"Corals ","France ","38738 "," ","Bigot, A. ",1935,"Les recifs bathoniens de Normandie ","  ","Bulletin de la Societe Geologique de France, ser. 5 ","4 ","697-736 "
2383,3325,"Aubry en Exmes ","Grès armoricain ","Jurassic ","Middle Jurassic ","Bathonian ",48.8167,0.0333,"Corals ","France ","38740 ","Combines data from three reefal structures at: Villedieu les Bailleul Tournai-sur-Dives Aubry en Exmes Latter is ca. 6 m thick with corals and large bivalves","Bigot, A. ",1935,"Les recifs bathoniens de Normandie ","  ","Bulletin de la Societe Geologique de France, ser. 5 ","4 ","697-736 "
2384,3328,"Aroyo de la Atarjea, San Luis Potosi ","Cardenas ","Cretaceous ","Upper Cretaceous ","middle Maastrichtian ",22.0167,-99.6333,"Rudists ","Mexico ","38870 ","Mixed coral-rudist reef with diverse fauna. Reef intervals u2, u3 and u4 combined","Schafhauser, A., Goetz, S., Baron-Szabo, R., Stinnesbeck, W. ",2003,"Depositional environment of coral-rudist associations in the Upper Cretaceous Cardenas Formation (central Mexico) ","  ","Geologica Croatica ","56 ","187-198 "
2384,3327,"Aroyo de la Atarjea, San Luis Potosi ","Cardenas ","Cretaceous ","Upper Cretaceous ","Middle-Upper Maastrichtian ",22.0167,-99.6333,"Corals ","Mexico ","38869 ","Low-diversity coral-rudist reef with 9 levels. Strongly dominated by corals, rare rudists. Algae not indicated but inferred. Oysters associated.","Schafhauser, A., Goetz, S., Baron-Szabo, R., Stinnesbeck, W. ",2003,"Depositional environment of coral-rudist associations in the Upper Cretaceous Cardenas Formation (central Mexico) ","  ","Geologica Croatica ","56 ","187-198 "
2385,3329,"Piedra Santa Range, Neuquén Basin ","Los Molles ","Jurassic ","Lower Jurassic ","(early?) Toarcian ",-39.3539,-70.5122,"Microbes ","Argentina ","","Stromatolithic bioherms with worm tubes enclosed in shales and silts. Part of deepening upward sequence. Depth estimated several 100 m.","Gómez-Pérez, I. ",2003,"An Early Jurassic deep-water stromatolitic bioherm related to possible methane seepage (Los Molles Formation, Neuquén, Argentina) ","  ","Palaeogeography, Palaeoclimatology, Palaeoecology ","201 ","21-49 "
2388,3335,"Tabas-Yazd road, Tabas ","Kamar-e-Mehdi ","Jurassic ","Middle Jurassic ","Callovian ",33.3333,56.6667,"Corals ","Iran ","41405 ","Formation ranging from Callovian to lower Kimmeridgian. Small coral patch reefs in Echellon Limestone Member (upper? Callovian)","Pandey, D. K., Fürsich, F.T. ",2003,"Jurassic corals of east-central Iran ","  ","Beringeria ","32 ","1-138 "
2388,3334,"Kalshaneh ","Badamu ","Jurassic ","Middle Jurassic ","Aalenian/lower Bajocian ",34.1667,56.6667,"Corals ","Iran ","41398 "," ","Pandey, D. K., Fürsich, F.T. ",2003,"Jurassic corals of east-central Iran ","  ","Beringeria ","32 ","1-138 "
2389,3336,"Nomura, Shikoku ","Yatsuji ","Jurassic ","Upper Jurassic ","Tithonian/Berriasian ",33.35,132.6167,"Stromatoporoids ","Japan ","68309 ","Torinosu type reefal limestone with diverse microencrusters. Mainly floatstones. 42% stromatoporoids, 23% corals, 16% microencrusters, 11% bioclasts, 7% allomicrite, 0.3% cements","Shiraishi, F., Kano, A. ",2004,"Composition and spatial distribution of microencrusters and microbial crusts in upper Jurassic-lowermost Cretaceous reef limestone (Torinosu Limestone, southwest Japan) ","  ","Facies ","50 ","217-227 "
